P2_1_B,lemma
"-porque tenemos que tener un plan común.""",plan común
3779	especialistas profesionales buenos; formar profesionales con vocación; empatía de los profesionales con las personas que atienden; más medicos y profesionales de la salud,especialista profesional buen profesional vocación empatía profesional persona medico profesional salud
-70% del sueldo,sueldo
-pensión básica igualitaria al sueldo minimo,pensión básico igualitario sueldo mínimo
"-cambio de metodología en años de vida de pensionados.""",cambio metodología año vida pensionado
"3781	""-estado garantice acceso universal a la salud, sin discriminación.",acceso universal salud discriminación
-derecho a la salud uniforme,derecho salud uniforme
"-reestructuración sistema de salud actual.""",reestructuración sistema salud actual
"3782	""ganancias mejor redistribuidas",ganancia
bajar la edad pronosticada,edad pronosticado
que la afp gane menos y haga (+) repartición en las personas,repartición persona
afp estatal y que las ganancias se resdistribuyan en el pais,estatal ganancia país
cambiar el pais,país
cambiar el sistema,sistema
"las perdidas no se incorporen a las personas """,perdida persona
"3783	""-una salud más justa. que las horas de especialistas no lleguen cuando la persona está falleciendo.",salud justo
"-la salud particular funciona pero es carísima.""",salud particular carísimo
"3784	""colapso del sistema.",colapso sistema
no asegura el bienestar de las personas.,bienestar persona
"mejora en la edad de jubilación.""",mejora edad jubilación
"3785	primero se debe establecer la paz social, para garantizar que el pais avance en todo sentido.",primero paz social país sentido
"3786	""se deberian aumentar los especialstas",especialsta
falta de atencion buena mal trato,falta atención buen mal trato
"es muy caro en el case de la privada""",caro car privado
"3787	""necesidad de disponer de los recursos como país, para poder cubrir las necesidades de las personas (salud, educación, alimentación, vivienda, etc.)",necesidad recurso país necesidad persona salud educación alimentación vivienda
"necesidades básicas pensiones, salud, eduación, vivienda , agua, alimentación, deben estar cubiertas y de calidad para todas las personas ( civiles y f""",necesidad básico pensión salud eduación vivienda agua alimentación cubierto calidad persona civil
"3788	""-equiparar la cancha entre proyectos públicos y privados.  reducir  la cantidad de alumnos por sala de clase. nivelación en cuanto a calidad",cancha proyecto público privado
"3789	por que la educación es la base de todo, alguien bien educado es un buen trabajador, una buena persona, etc.",educación base buen trabajador buen persona
3790	se señala que actualmente los jóvenes no conocen la constitución a diferencia de lo que ocurría años anteriores en donde se impartían clases de educación cívica.,joven diferencia año anterior clase educación cívico
"3791	la salud es muy mala, los servicios son muy poco diligentes, la salud mental es muy mala con pocos profesionales, poca etica",salud malo servicio diligente salud mental malo profesional etica
"3792	pensiones dignas, que nos permitan vivir dignidad, pensiones actuales no nos permiten llegar el mundo de la culturas, cine, libros , porque se nos esta vetando",pensión digno dignidad pensión actual mundo cultura cine libro
"3793	"".el sistema no le da educación a los hijos, por que sino tenían recursos, no tienen oportunidades, la gratuidad no es para todos.",sistema educación hijo recurso oportunidad gratuidad
".sugieren ampliar cobertura, crear más colegios, par que los niños(as) no quedan sin educación.",cobertura colegio par niños as educación
".necesidad de dar solución a deudores del cae y otros sistemas de fina""",necesidad solución deudor caer sistema fino
"3794	""son muy bajas, se necesita aumentarlo.",baja
que se cambie el sistema afp.,sistema
"que toda la sociedad tenga las mismas pensiones (civiles y militares)""",sociedad pensión civil militar
"3795	igualdad en el acceso a vivienda, educación, salud, pensiones dignas y sueldos, existe una evidente desigualdad para acceder a estos vienes o servicios lo que cierra",igualdad acceso vivienda educación salud pensión digno sueldo evidente desigualdad servicio
"3796	tenemos una salud de muy mala calidad, con remedios de vida calidad que no combaten las enfermedades como debe ser y mala cobertura.",salud malo calidad remedio vida calidad enfermedad deber malo cobertura
"3797	""disminuir los años de expectativas de vida que hacen las afp de tal manera que aumenten las pensiones.",año expectativa vida afp tal manera pensión
"3798	""centrada en valroes tanto en la familia como en los colegios.",centrado valroe familia colegio
"finalizar con la educación municipalizada.""",educación municipalizado
"3799	la gente quiere pensiones algunosm que no existan más afp, que exista diprecapara todos igual que los milicos.",gente querer pensión igual milico
"3800	por falta de opciones, lista de espera, falta de compromiso de parte de los funcionarios publicos en accesos a la salud. mejorar la atención en la salud.",falta opción lista espera falta compromiso parte funcionario público acceso salud
"3801	por ser un robo sistemático, por no poder hacer uso de nuestros fondos y tener una vejez digna.",robo sistemático uso fondo vejez digno
"3802	""mejorar la accesibildiad a las prestaciones inclusivas (con discapacidad visual, auditivo, etc)",accesibildiad prestación inclusivo discapacidad visual auditivo
"agilizar las gestiones y listas de espera en la hora de agilizar la toma de atenciones como de operacion""",gestión lista espera hora toma atención operación
"3803	se necesita mejorar los sistema previsionales, para que exista una calidad de vida digna y que exista garantia de ello a través de una ley",sistema previsional calidad vida digno garantia través
"3804	""mejores pensiones dignas.",mejor pensión digno
cambiar sistema de afp.,sistema
"entregar todo el dinero a la persona que se jubila.""",dinero persona
"3805	""primero que todo, que la salud sea considerada como un derecho y no como un favor estatal.",salud derecho favor estatal
"se debe mejorar y potenciar la salud pública, y también facilitar el acceso al sist. privado.",salud público acceso
"acortar las brechas de calidad entre la salud pública y privada""",brecha calidad salud público privado
"3806	""mejorar la vida básica, salud. sueldos para educar mejor.",vida básico salud
"y mejorar la base del hogar. (sueldos-pensiones)""",base hogar
3807	es una herramienta importante para sacar a la gentede la pobreza respecto a la calidad en basica y media y respecto a la facilidad para los universitarios.,herramienta importante gentede pobreza respecto calidad basica respecto facilidad universitario
"3808	por todo los destrosos que han habido las tiendas, supermercado estan cerrando. disminuir yendo personal, de antes estabamos mal hoy peor",destroso tienda supermercado
"3809	""se mencionan inyección de recursos para las áreas",inyección recurso área
se solicita mayor especialistas en comunas y regiones,mayor especialista comuna región
"retomar el servicio""",servicio
"3810	""regularizacion edad maxima para pagar mejorar para adultos mayores cambios sistema de afp (perdidas asumidas por clientes)",regularización edad maximo adulto mayor cambio sistema asumido cliente
"volver inp (sistema antiguo)""",inp sistema antiguo
"3811	los que han trabajado toda su vida, resive menos, que los que no han trabajado nunca.",vida
"3812	""pensiones bajas, la afp calcula mal de edad proyecto de vida.",pensión baja mal edad proyecto vida
"como por hijo una mala politica. informa mal la afp.""",hijo malo política
"3813	""-medicamentos de alto costo",medicamento alto costo
-falta especialista medicos,especialista medico
-disminuir lista espera,lista
"-el sistema de salud publica interna no funciona como corresponde""",sistema salud interno
- desprivatizar los recursos naturales,recurso natural
- acabar con las consesionarias o bajar el precio del tag,consesionario precio tag
- devolver la autoridad de las ff.aa debido al alza de delincuencia y trafico de droga,autoridad debido alza delincuencia trafico droga
"- terminar con la puerta giratoria.""",puerta giratorio
3815	- lograr que al haber una mejora de pensiones sea equivalente para todos y no sólo la pensión básica solidaria,mejora pensión equivalente pensión básico solidario
3816	pensiones precarias para los jubilados por aps y afp las personas no benefician a un grupo puro mayoritario de la poblacion,pensión precario jubilado persona grupo puro mayoritario población
"3817	""- por la demora de los exámenes y atención a las personas.",demora exámen atención persona
- muy pocos recursos en hospitales y consultorios,recurso hospital consultorio
"- muy caro los medicamentos.""",caro medicamento
3818	con las personas enfermas o que necesitan atención medica y no tienen la economia adecuada o recursos para los remedios.,persona enfermo atención medico economía adecuado recurso remedio
"3819	""mejor atención en los hospitales publicos.",mejor atención hospital público
"falta de especialista y maquinaria para tratar enfermedades, empatia en los especialista.""",falta especialista maquinaria enfermedad empatia especialista
"3820	""se deberia aumentar el monto de la pension basica solidaria para que los adultos mayores de chile tengan una vida digna",monto pensión basico solidario adulto mayor vida digno
"3821	""- aguilizar la lista de espera en los hospitales publicos.",lista espera hospital público
- falta de medicos especialistas,falta medico especialista
"mejorar la salud en su totalidad.""",salud totalidad
"3822	""mejorar sistema de salud",sistema salud
acceso a medicamentos y mejor precio de estos,acceso medicamento mejor precio
mejor atencion salud publica,mejor atención
acceso a especialistas (tratamiento enfermedades),acceso especialista tratamiento enfermedad
pago licencias compin,licencia compin
"3823	""listas de espera.",lista espera
falta de apoyo económico.,falta apoyo económico
falta de especialistas.,falta especialista
aumentar patologías  auge.,patología auge
falta de infraestructura.,falta infraestructura
"falta de regulación en venta de alimentos""",falta regulación venta alimento
"3824	""-rebajar los años de estimación de vida, ser opcional jubilarse a partir de los 50.",año estimación vida opcional jubilar partir
-pensiones mas dignas,pensión digno
-pensiones heredables en cualquier caso.,pensión heredable caso
"-menos ganancia para la AFP + para el trabajador.""",ganancia trabajador
"3825	""- personas necesitan vivir bien.",persona
- pensiones muy bajas,pensión baja
"- adultos mayores no tienen calidad de vida.""",adulto mayor calidad vida
"3826	el cae es muy alto, los jóvenes se endeudan y deben trabajar para pagar el cae que es muy alto el costo.",alto joven caer alto costo
"3827	""que los sueldos sean más altos ya que las cosas suben al final se terminan en cero los bolsillos",sueldo alto cosa final cero bolsillo
"las pensiones que sean de menos edad""",pensión edad
"3828	""modificar el actual sistema. otorgar pensiones dignas. modificar el traspaso de medida hacia el usuario.",actual sistema
"tener un suleno de acuerdo a los tiempos actuales (años de jubiación, esperanza de vida).""",suleno acuerdo tiempo actual año jubiación esperanza vida
- son muy bajos.,bajo
"- no alcanzan para cubrir todas las necesidades de la familia.""",necesidad familia
"3830	""-porque es injusto.",injusto
-no les da las misma oportunidades a los pobres como a los ricos.,oportunidad pobre rico
-no escucha las problemáticas del país.,problemático país
"-tiene que pagar por los que han muerto y perdido sus ojos.""",ojo
"3831	""desigualdad en general, principalmente para personas de escasos recursos.",desigualdad general persona escaso recurso
"entregar un trato digno en salud pública.""",trato digno salud público
"3832	""de calidad - digna salud dental",calidad digno salud dental
no cuestionar los certificados entregados por profesionales para carnet de discapacidad. + cobertura exámenes fonasa.,certificado profesional carnet discapacidad
"más especialistas - especialistas con vocación""",especialista especialista vocación
"3833	tener mayor sistema de salud, de calidad apoyo sicologico, un sistema de salud mas inclusivo. existen negligencias  en atención obstetrica. se da una mala atención a pacientes debiera existir una atención prioritaria para discapacitados en la salud publica y privada",mayor sistema salud calidad apoyo sicologico sistema salud inclusivo
"3834	""mejorar tiempos de espera atención especializada, asignación de horad medicas profesionales de salud e infraestructura faltas de programas de rehabilitación -----------------.",tiempo espera atención especializado asignación medico profesional salud infraestructura falta programa rehabilitación
"planes de salud y leyes antiguas que no reflejan la realidad actual.""",plan salud ley antiguo realidad actual
"3835	la salud en chile no cumple los estandares, la gente que no tiene recursos muere esperando atencion",gente recurso atención
"3836	""-muchas deficiencia en salud pública.",deficiencia salud público
"-sistema problemas de salud necesita tener tiempo (para el bono, atención, medicamentos).",sistema problema salud tiempo bono atención medicamento
"-mayor equidad reforma el estado.""",mayor equidad estado
"3837	""para que la gente vuelva a confiar en austeridad.",gente austeridad
abuso hacia los ciudadanos.,ciudadano
"30 año de robos.""",año robo
"3838	""el sistema de salud no funciona bien, porque los médicos no tienen con qué trabajar.",sistema salud médico
"dede haber un único sistemas de salud que ayude y atienda a todos por igual.""",único sistema salud igual
"3839	falta mejorar la atencion, mas recursos y asi tener mas hospitales, mejores profesionales, acceso a medicamentos y atencion digna.",atención recurso hospital mejor profesional acceso medicamento atención digno
"3840	""-es muy baja las pensiones.",pensión
"-salud: no hay remedios, mala atención",salud remedio malo atención
"-educación: no hay derecho a los estudiantes, porque no le dan la oportunidad de estudiar adecuadamente.",educación derecho estudiante oportunidad
"-alzas: bajar los valores.""",alza valor
"3841	 por ser un robo sistematico, por no poder hacer uso de nuestros fondos y tener una vejez digna.",robo sistematico uso fondo vejez digno
-que todos seamos tratados de igual forma,igual forma
-estado sea solidario y no subsidiario,solidario subsidiario
"-mala distribución de recursos""",malo distribución recurso
.recursos mal utilizados,recurso utilizado
"3844	""por que ha medida que exista",medida
igualdad en la sociedad se,igualdad sociedad
equipara el acceso a las,acceso
"condiciones que se desean""",condición
"3845	inclusión y garantias de derecho de todos, a fin de construir un fututo con igual de oportunidades.-",inclusión garantia derecho fin fututo oportunidad
"3846	""-salud pública es cara",salud público cara
-no hay especialistas,especialista
-pagamos fonasa igual hay que pagar,fonasa
"-siempre hay que recurrir a la salud privada.""",salud privado
"3847	""- no hay insumos ni medicamentos",insumo medicamento
"- mejor disposición en la atención de médicos y enfermeras.""",mejor disposición atención médico enfermera
"3848	""- lista de espera (mejorar)",lista espera
- personal con vocación,personal vocación
"- transversal, mayor prioridad a los adultos mayores.-""",transversal mayor prioridad adulto mayor
"3849	""• más trabajo y mejor remunerado para pensar en una vejez mejor.",trabajo remunerado
• trabajo para madres solteras que tienen .... distintos para los estudios de los hijos,trabajo madre soltero distinto estudio hijo
"• bajas rentas a los pobres""",baja renta pobre
"3850	""que se elimine la lista de espera y se garantice la accesibilidad a medicamentos y se controlen sus costos.",lista espera accesibilidad medicamento costo
"que los usuarios de fonasa tramo a puedan comprar bonos con subsidio.""",usuario tramo bono subsidio
3851	el gobierno debe utilizar las herramientas que tiene. se habla de derechos humanos de los violentistas y no de los derechos que tenemos los ciudadanos le han quitando autoridad y  poder a carabineros,deber herramienta
"3852	""-que los profesionales tengan más compromiso.",profesional compromiso
-igualdad en el aceso a la salud.,igualdad aceso salud
"-que los politicos ingrecen a la salud pública""",politico salud público
"3853	""la salud es un negocio igualmente la educacion",salud negocio educación
"los normalistas fueron disueltas por el periodo de pinochet""",normalista periodo
"3854	""mejorar la salud, si hay que pagar un poco se pago """"que no vayamos a hacer vida social"""" que sea la misma atención que un privado",salud vida social atención privado
"- tener acceso y que no sean caros con mayor acceso.""",acceso caro mayor acceso
"3855	-el tiempo de espera, la salud debería ser preventiva, mejor calidad de atención, mejor la atención integral",tiempo espera salud deber preventivo mejor calidad atención mejor atención integral
"3856	""-mejorar la calidad de la salud",calidad salud
-culminar las listas de espera,lista espera
"- tener acceso rápido por una necesidad, priorizar.",acceso rápido necesidad
"-falta de insumos """,falta insumo
"3857	""que haga mas igualdad en el país, menos pobreza que los derechos lleguen a los lugares mas extremos",igualdad país pobreza derecho lugar extremo
"Me refiero a la agricultura familiar.""",familiar
"3858	que se acaben las listas de espera, que hayan más especialistas en hospitales públicos, que la salud que no sea un negocio.",lista espera especialista hospital público salud negocio
"3859	mejorar y que sea gratis que no haya discriminación de niños de ganeros cambiando y discapacidad diferente, colegio mejores.",discriminación niño ganero discapacidad diferente colegio mejor
3860	los altos costos de los medicamentos la colusione sd elos precios entodo el comercio existe la fatal de fiscalizacion ante este problema. la cantidad de profesiones en el sitema publico es deficienrte. las instalaciones no son adecuadad las listas de esperar deben terminar los malos diagnosticos los,alto costo medicamento colusione precio entodo comercio fatal fiscalizacion problema
"3861	""- instituciones públicas no son respetadas - ffaa",institución público
- no se aplican leyes,ley
"- declarar delito corrupción  aportar """,delito corrupción
"3862	""se mejoraron las pensiones solidarias pero no a los pensionados de afp.",pensión solidario pensionado
hay que revisar las tablas de mortalidad hay que escuchar las necesidades de los adultos mayores.,tabla mortalidad necesidad adulto mayor
"mejorar la regulación de las afp""",regulación afp
3863	falta de oportunidades en atención médica gente a enfermedades de alto costo con tratamientos largos y que la espera las lleva a la muerte.,falta oportunidad atención médico gente enfermedad alto costo tratamiento largo muerte
"3864	""las perdidas no sean asumidas por los cotizantes",perdida cotizante
"disminuir la esperanza de vida un porcentaje de retiro""",esperanza vida porcentaje retiro
"3865	""- mas y mejores especialistas",mejor especialista
- que hayan mas especialistas que atiendan por fonsa,especialista fonsa
"- consultas muy caras se complejiza cuando las pensiones son muy bajas.""",consulta cara pensión baja
"3866	es lo mas importante de todo ser humano, por eso es necesario que aumentos los especialistas en el sector publico, mejorar calidad de remedios y que no existan mas lista de espera.",importante ser humano ser necesario especialista sector público calidad remedio lista espera
"3867	""-mala atención porque no existe etica",malo atención etica
-colas de espera muy larga,cola espera largo
-no hay vocacion en los profesionales,profesional
"-igualdad en salud, atencion de calidad para todos independiente si es publica o privada""",igualdad salud atención calidad independiente privado
"3868	""-porque es lo inicial para el cambio de mejoras para el pais",inicial cambio mejora país
-genera estabilidad constitucional,estabilidad constitucional
"-solo necesita cambio de concepto y no refundar""",cambio concepto
"3869	""educación real (civica, familiar) que enriquezca la cultura frente a la discapacidad y participación social activa.",educación real civico familiar cultura frente discapacidad participación social activo
"inicio en la infancia""",inicio infancia
"3870	que toda medida que adopte el estado considee la discapacidad. debe haber intersectorialidad, respecto  a igualdad.",medida estado discapacidad
"3871	""(1. educación inclusiva de calidad(familia))",educación inclusivo calida familia
"3872	""-falta de especialistas.",falta especialista
-ni hay implementos adecuados.,implemento adecuado
"-personas  que trabajan en la salud esten capacitados porque no saben tratar a la gente con discapacidad.""",persona salud capacitado gente discapacidad
ser protagonistas y ser parte del cambio junto a todos los actors.,protagonista parte cambio junto actor
diálogos vinculantes y tengan un impacto real dentro de las políticas públicas.,diálogo vinculante impacto real política público
"generar un plina estrategico e insumar los resultados de este diálogo """,estrategico resultado diálogo
"3874	""se requieren; entes fiscalizadores, procesos que resguarden y validen la existencia de los derechos de la personas con discapacidad.",ente fiscalizador proceso existencia derecho persona discapacidad
"apuntar a una inclusión real, no solamente integración y asistencialismo.",inclusión real integración asistencialismo
"aumentar los beneficios para personas con discapacidad en relación a la necesidad real de a""",beneficio persona discapacidad relación necesidad real
"3875	generar una entidad que fiscalice las prácticas relativas a la inclusión en todos  los contextos de la vida cotidiana y que sus funicioraios sean personas con discapacidad, en tanto esto genera una fiscalización más apropiada porque las personas saben realmente (por experiencia) que necesitan pas pe",entidad práctica relativo inclusión contexto vida cotidiano funicioraio persona discapacidad tanto fiscalización apropiado persona experiencia
"3876	""el deterioro de las instalaciones en los colegios de las poblaciones, el sueldo que tienen los profesores,",deterioro colegio población sueldo profesor
"y no invierten en los niños, en su educación """,niño educación
"3877	mejorar la calidad de la educacion para la preparacion de mejores profesionales. mejoramiento de infraestructura, cambio al sistema educacional, la educación era mejor antes. calidad docente, eliminar el cae, que se cobre lo justo",calidad educación preparación mejor profesional
"3878	""-desigualdad en general, principalmente para personas de escasos recursos.",desigualdad general persona escaso recurso
"-entrega un trato digno en salud pública""",trato digno salud público
"3879	""es transversal a todo, a pensiones, a salud, educación, deudas, economía, temas sociales.",pensión salud educación deuda economía tema social
"es importante porque esto predetermina a las personas desde que nacen. el nepotismo es un ejemplo, la meritocracia existe para algunos sectores sobre todo en el sector privado.",importante persona
"justicia social significa que n""",justicia social n
"3880	los derechos y deberes, hemos dejado que los niños se desarrollen solos más acompañados desde los primeros años.educarnos no para todos ahora sobran profesionales ahora son menos exigentes no hay calidad.",derecho niño acompañado primero año profesional exigente calidad
"3881	""""""no ha hecho nada de lo prometido"""" / menciona eso ya que su situación en salud no es la mejor""",situación salud mejor
"3882	""modificacion del sistema de pensiones",modificación sistema pensión
"fijar una pension base que sea el sueldo minimo ( todas las pensiones)""",pensión base sueldo mínimo pensión
- Servicio de calidad,servicio calidad
"- Mejorar la canasta de medicamentos""",canasta medicamento
"3884	""incluyen pero separan a los alumnos con discapacidad.",alumno discapacidad
"-no capacitan a los profesores. alumnos, padres para estudiar con personas que tienen discapacidad.""",profesor
"3885	que sea una constitucion realizada para las personas en relacion a sus necesidades abordando educacion, salud, pensiones, inclusion",constitución realizado persona relación necesidad educación salud pensión inclusión
"3886	""muchos universitarios sin trabajo, se endeudan sin trab",universitario trabajo trab
"concordancia, trabajo hay.",concordancia trabajo
"pero hay mucha gente floja (subsidio a la gente de trabajos por temporada, mayor acceso a beneficios )""",gente flojo subsidio gente trabajo temporada mayor acceso beneficio
"3887	""capitales de los recursos son de beneficio de las administradoras.",capital recurso beneficio administradora
requiere igualar sistemas de reparto por años de servicio como de las fuerzas armadas.,sistema reparto año servicio fuerza armado
"3888	""- me obligaron ha cambiarme a afp y sacamos pensiones indignas.",afp pensión indigno
"- es un negocio muy bien programada para beneficio de las propias afp, y la desición de que hacer con el dinero deberia ser de la propia persona.",negocio programado beneficio propio desición dinero deber propio persona
"- no mas afp, ya no fue negocio""",negocio
3889	Educar a la sociedad en cuanto a discapacidad desde la infancia para que se sepa tratar a un adulto mayor a un discapacitado.,sociedad cuanto discapacidad infancia adulto mayor discapacitado
"3890	""hay muchos jefes y pocos líderes. se necesita gente que quiera ver más allá. ser visionario.",jefe líder
"que tenga y se crea la equidad de género.""",equidad género
"3891	mejor acceso a la salud, atención prioritaria a ped y adultos mayores , terminar listas de espera mejorar la atencion, con un trato mas digno. aumentar la atención de especialistas mayor accesibilidad a medicamentos y ayudas técnicas.",mejor acceso salud atención prioritario ped adulto mayor lista atención digno
"3892	""en este ambito se identifican:",ambito
"- turnos en consultorios deben mejorar su calidad y cobertura, evitando a los usuarios madrugar para conseguir numero de atencion.",turno consultorio calidad cobertura usuario número atención
"- hay serios problemas con la calidad de atencion y tambien calidad humana de las personas que atienden en recintos de salud. no se ve v""",problema calidad atención calidad humano persona recinto salud
3893	ya que las atenciones y la falta de recursos hacen que no se entrege un buen servicio,atención falta recurso buen servicio
"3894	""- acabar con listas de espera.",lista espera
- que en los consultorios existan personas que lo atiendan bien,consultorio persona
"- desorden en la salud duplicidad de horas. nos hacen sentir que es un favor y no lo es.""",salud duplicidad hora
3895	bajar sueldos y garantia de los parlamentarios. que trabajen para chile y no para ellos y cumplan que haya equilibrio salarial,sueldo garantia parlamentario
"3896	""que sea un real sistema de pensión en donde cada trabajador tenga la opción de estar o no en el sistema.",real sistema pensión trabajador opción sistema
"los que optan por entrar en el sistema poder resguardar o regularizar de forma equitativa su ahorro.""",sistema forma equitativo ahorro
"3897	en relación a las remuneraciones, especialmente respecto a profesiones que son poco valoradas y que son fundamentales para la formación de otros profesionales.",relación remuneración respecto profesión fundamental formación profesional
"3898	piensan que ni se cumplen las promesas  que se realización los servicios no cumplen, ampliación de vivienda",promesa realización servicio ampliación vivienda
"3899	""Falta mayor acceso a la educación que sea de calidad, nivelar desde los cursos básicos, entregar herramientas para la movilidad social.",mayor acceso educación calidad curso básico herramienta movilidad social
"Igualdad de oportunidades._""",igualdad oportunidad
"3900	""-personal por el tema de la delincuencia en los hogares, pymes y empresas",personal tema delincuencia hogar pyme empresa
modificación de leyes pa la delincuencia,modificación ley delincuencia
"-mediar acciones con respecto ala      con penas correspondientes.""",acción respecto ala pena correspondiente
"3901	falta mayor acceso a la educación que sea de calidad, nivelar desde los cursos básicos, entregar herramientas para la movilidad social. igualdad de oportunidades",mayor acceso educación calidad curso básico herramienta movilidad social
"3902	""bajar los peajes y pasajes regularlos",peaje pasaje
termino de monopolio empresas de buses,termino monopolio empresa bus
"termino al impuesto especifico""",termino impuesto especifico
"3903	""la gente se arrepintio de carabineros del seguro social//se amenazo para cambiar",gente carabinero seguro social amenazo
intereses   donde esta?. todo perdimos los usuarios,interés
"abusivos// reales politicos dentro de los cam para cambiar a las cajas de compensacion """,abusivos real politico caja compensación
"3904	""fiscalizacion rigurosa por parte del estado",fiscalizacion riguroso parte estado
"fortalecer los servicios del estado, incluyendo la probidad de  los funcionarios""",servicio estado probidad funcionario
"3905	se necesita igualdad de los derechos para todos en sueldo, opinión, respeto para estar bien como sociedad",igualdad derecho sueldo opinión respeto sociedad
"3906	""- sistema de salud en la región no hay más opciones que acudir solo hospital.",sistema salud región opción solo hospital
"- salud precaria y mala calidad""",salud precario malo calidad
"3907	""Por ser una localidad aislada nunca se debió privatizar el agua",localidad aislado agua
falta de agua sector rural,falta agua sector rural
"mala calidad sector urbano.""",malo calidad sector urbano
se han perdido más empleos ve lo ya había.,empleo
"-mejorar los salarios. no hay incentivos. """,salario
"3909	los habitantes de la isla no poseen viviendas dignas, no poseen trabajos estables (solo por temporadas de la industria salmoneras) y bajo escolaridad. lo que les cierra las puertas para acceder a un mejor nivel de vida.",habitante isla vivienda digno trabajo estable temporada industria salmonero escolaridad
"3910	""sueldos muy bajos que no alcanzan para vivir hay mucho necesidad a nivel país, somos región pobre.",sueldo bajo necesidad nivel país región pobre
"todo sube porque los empresarios no quieren invertir.""",empresario
"3911	""aumento de medicos especialista.",aumento medico especialista
atención de urgencia mejorarla,atención urgencia
no sustituir medicamento,medicamento
fin lista de espera.,fin lista espera
mejor atencion para adultos m.,mejor atención adulto
"que la atención sea igual para chilenos como extranjeros.""",atención igual chileno extranjero
3912	en la actualidad las pensiones muy bajas y la forma de cálculo sigue perjudicando cambio muy grande al retirarse. nada alcanza.,actualidad pensión baja forma cálculo cambio grande
"3913	fortalecer al sistema hospitario encuruto a insumos, especialistas y atencion al usuario. ademas fortalecer el sistema de salud fonasa. dejando como seguro complementario a las isapres.",sistema hospitario encuruto insumo especialista atención usuario
fin a listas de espera,fin lista espera
alto costo de los medicamentos,alto costo medicamento
"mejoramiento de servicio urgencia""",mejoramiento
"3915	""- aumento de medicos especialista.-",aumento medico especialista
- Atención de urgencia mejorarla,atención urgencia
-no sustituir medicamentos,medicamento
-Fin lista de espera.,fin lista espera
- Mejor atencion para adultos M.,mejor atención adulto
"- Que la atención sea igual para chilenos como Extranjeros.""",atención igual chileno extranjeros
"3916	""-Mayor dotación especialistas en Servicio Público",mayor dotación especialista servicio público
-Agilizar listas de espera (operación y horas medicas),lista espera operación hora medico
-Atención de calidad y empática.,atención calidad empático
"-Mayor hora de atención dental. """,mayor hora atención dental
"3917	""más especialistas, más economicos los remedios lista de espera eterna",especialista económico remedio lista espera eterno
tiempo de espera,tiempo espera
"mala atención, falta vocación""",malo atención vocación
"3918	demora en las horas (otorgadas) listas de espera largas (años) mala atención ( personas con vocación)descoordinación, se burlan de las personas.",demora hora otorgado lista espera largo año malo atención persona vocación descoordinación burlar persona
"3919	""-no hay especialistas",especialista
-consultorios grandes y sin uso,consultorio grande uso
-barreras muy exigentes para profesionales de salud-que sean para el sector rural,barrera exigente profesional saludque sector rural
-no te ner vocación social,vocación social
"-mal trato, mala atención.",trato malo atención
"3920	""el sistema de selección es malo, hay que cambiarlo",sistema selección malo
"no eliminar materias del currículum, al contrario incorporar nuevas asignaturas",materia currículum contrario nuevo asignatura
falta formación valórica,formación valórico
"deben ser gratuita pero el que puede pagar que pague""",gratuito
"3922	""- basar los tramites de la luz y servicios (deben ser del estado, estado mal administrado)",tramite luz servicio estado
-medicamentos muy caros,medicamento caro
-no hay relación entre costo v/s ingreso,relación costo
3923	se a perdido la confianza por los diferentes hechos delictuales que no an sido sansionados como corresponde,perdido confianza diferente hecho delictual
"3924	""-las mujeres señalan la urgencia de contar con profesionales en el sáes odontología, oncología y dermatólogos y la exigencia que estos especialistas tengan que trabajar en hospitales públicos",mujer urgencia profesional sáe odontología oncología dermatólogo exigencia especialista hospital público
"-innovar en equipamientos de avanzada para mamografías""",equipamiento avanzado mamografía
"3925	igualdad de salud, para todos tanto ricos como pobres, mejores profesionales, e insumos derecho de salud, para todos, desentralización.-",igualdad salud rico pobre mejor profesional insumo derecho salud desentralización
"3926	""falta de horas medicas.",falta hora medico
"falta de especialistas, ginecologia, traumatologos, mejor atención que la atención se iguale al sector privado""",falta especialista ginecologia traumatologo mejor atención atención sector privado
"3927	""*profesores mal pagados",profesor pagado
*educación de calidad,educación calidad
*tareas para la casa (no),tarea casa
"*universidades caras (no al endeudamiento)""",endeudamiento
"3928	""cambio del sistema neoliberal urgente",cambio sistema neoliberal urgente
cambio para ser más personas y menos,cambio persona
de la mano de un sistema de bienestar social,mano sistema bienestar social
que nuestros gobernantes nos escuchen,gobernante
que este dialogo no se quede ahi.,dialogo
"queremos ver nuestro pueblo más feliz.""",pueblo feliz
"3930	""por los otros, colocarte en el lugar de otro y su realidad.",lugar realidad
"cada persona vive su realidad sin preocuparse por otros seres humanos y lo que viven.""",persona realidad ser humano
"3931	""-mejorar salud y educación",salud educación
-hay gente que tiene mucho dinero y gente que tiene sueldos muy bajos.,gente dinero gente sueldo bajo
"-debe mejorar afp porque las pensiones son pesimos """,pensión pesimo
"3932	""- no existe un sistema de calidad las horas médicas tardan mucho",sistema calidad hora médico
"- no hay especialistas en comunas""",especialista comuna
3933	preocupación por la baja pensión de mis padres y larga emocional y financiera por mejorar la calidad de vida,preocupación bajo pensión padre largo emocional financiero calidad vida
"3934	""actuar con mayor eficiencia en relación a los adultos mayores",mayor eficiencia relación adulto mayor
