	P2_1_B
3809	"se mencionan inyección de recursos para las áreas
se solicita mayor especialistas en comunas y regiones
retomar el servicio"
3810	"regularizacion edad maxima para pagar mejorar para adultos mayores cambios sistema de afp (perdidas asumidas por clientes)
volver inp (sistema antiguo)"
3811	los que han trabajado toda su vida, resive menos, que los que no han trabajado nunca.
3812	"pensiones bajas, la afp calcula mal de edad proyecto de vida. 
como por hijo una mala politica. informa mal la afp."
3813	"-medicamentos de alto costo 
-falta especialista medicos
-disminuir lista espera
-el sistema de salud publica interna no funciona como corresponde"
3814	"- salud
- pensiones
_educación
- desprivatizar los recursos naturales
- acabar con las consesionarias o bajar el precio del tag
- devolver la autoridad de las ff.aa debido al alza de delincuencia y trafico de droga
- terminar con la puerta giratoria."
3815	- lograr que al haber una mejora de pensiones sea equivalente para todos y no sólo la pensión básica solidaria
3816	pensiones precarias para los jubilados por aps y afp las personas no benefician a un grupo puro mayoritario de la poblacion
3817	"- por la demora de los exámenes y atención a las personas.
- muy pocos recursos en hospitales y consultorios
- muy caro los medicamentos."
3818	con las personas enfermas o que necesitan atención medica y no tienen la economia adecuada o recursos para los remedios.  
3819	"mejor atención en los hospitales publicos.
falta de especialista y maquinaria para tratar enfermedades, empatia en los especialista."
3820	"se deberia aumentar el monto de la pension basica solidaria para que los adultos mayores de chile tengan una vida digna
"
3821	"- aguilizar la lista de espera en los hospitales publicos.
- falta de medicos especialistas
mejorar la salud en su totalidad."
3822	"mejorar sistema de salud 
acceso a medicamentos y mejor precio de estos 
mejor atencion salud publica 
acceso a especialistas (tratamiento enfermedades)
pago licencias compin
"
3823	"listas de espera.
falta de apoyo económico.
falta de especialistas.
aumentar patologías  auge.
falta de infraestructura.
falta de regulación en venta de alimentos"
3824	"-rebajar los años de estimación de vida, ser opcional jubilarse a partir de los 50.
-pensiones mas dignas
-pensiones heredables en cualquier caso.
-menos ganancia para la AFP + para el trabajador."
3825	"- personas necesitan vivir bien.
- pensiones muy bajas
- adultos mayores no tienen calidad de vida."
3826	el cae es muy alto, los jóvenes se endeudan y deben trabajar para pagar el cae que es muy alto el costo.
3827	"que los sueldos sean más altos ya que las cosas suben al final se terminan en cero los bolsillos
las pensiones que sean de menos edad"
3828	"modificar el actual sistema. otorgar pensiones dignas. modificar el traspaso de medida hacia el usuario.
tener un suleno de acuerdo a los tiempos actuales (años de jubiación, esperanza de vida)."
3829	"- demasiada desigualdad
- son muy bajos.
- no alcanzan para cubrir todas las necesidades de la familia."
3830	"-porque es injusto.
-no les da las misma oportunidades a los pobres como a los ricos.
-no escucha las problemáticas del país.
-tiene que pagar por los que han muerto y perdido sus ojos."
3831	"desigualdad en general, principalmente para personas de escasos recursos.
entregar un trato digno en salud pública."
3832	"de calidad - digna salud dental
no cuestionar los certificados entregados por profesionales para carnet de discapacidad. + cobertura exámenes fonasa.
más especialistas - especialistas con vocación"
3833	tener mayor sistema de salud, de calidad apoyo sicologico, un sistema de salud mas inclusivo. existen negligencias  en atención obstetrica. se da una mala atención a pacientes debiera existir una atención prioritaria para discapacitados en la salud publica y privada
3834	"mejorar tiempos de espera atención especializada, asignación de horad medicas profesionales de salud e infraestructura faltas de programas de rehabilitación -----------------.
planes de salud y leyes antiguas que no reflejan la realidad actual."
3835	la salud en chile no cumple los estandares, la gente que no tiene recursos muere esperando atencion
3836	"-muchas deficiencia en salud pública.
-sistema problemas de salud necesita tener tiempo (para el bono, atención, medicamentos).
-mayor equidad reforma el estado."
3837	"para que la gente vuelva a confiar en austeridad.
abuso hacia los ciudadanos.
30 año de robos."
3838	"el sistema de salud no funciona bien, porque los médicos no tienen con qué trabajar.
las isapres deben desapacecer.
dede haber un único sistemas de salud que ayude y atienda a todos por igual."
3839	falta mejorar la atencion, mas recursos y asi tener mas hospitales, mejores profesionales, acceso a medicamentos y atencion digna. 
3840	"-es muy baja las pensiones.
-salud: no hay remedios, mala atención
-educación: no hay derecho a los estudiantes, porque no le dan la oportunidad de estudiar adecuadamente.
-alzas: bajar los valores."
3841	 por ser un robo sistematico, por no poder hacer uso de nuestros fondos y tener una vejez digna.
3842	"-cómo nos vemos los unos a los otros (como te ven te tratan)
-que todos seamos tratados de igual forma
-estado sea solidario y no subsidiario
-mala distribución de recursos"
3843	". buena administración (falta de )
. insumos médicos
.recursos mal utilizados 
. listas de espera 
. precios y disponibilidad de medicamentos 
. fonasa : mal funcionamiento"
3844	"por que ha medida que exista
igualdad en la sociedad se 
equipara el acceso a las 
condiciones que se desean"
3845	inclusión y garantias de derecho de todos, a fin de construir un fututo con igual de oportunidades.-
3846	"-salud pública es cara
-no hay especialistas
-no hay insumos
-pagamos fonasa igual hay que pagar
-siempre hay que recurrir a la salud privada."
3847	"- no hay insumos ni medicamentos
- mejor disposición en la atención de médicos y enfermeras."
3848	"- lista de espera (mejorar)
- personal con vocación
- transversal, mayor prioridad a los adultos mayores.-"
3849	"• más trabajo y mejor remunerado para pensar en una vejez mejor.
• trabajo para madres solteras que tienen .... distintos para los estudios de los hijos
• bajas rentas a los pobres"
3850	"que se elimine la lista de espera y se garantice la accesibilidad a medicamentos y se controlen sus costos.
que los usuarios de fonasa tramo a puedan comprar bonos con subsidio."
3851	el gobierno debe utilizar las herramientas que tiene. se habla de derechos humanos de los violentistas y no de los derechos que tenemos los ciudadanos le han quitando autoridad y  poder a carabineros
3852	"-que los profesionales tengan más compromiso.
-igualdad en el aceso a la salud.
-que los politicos ingrecen a la salud pública"
3853	"la salud es un negocio igualmente la educacion
los normalistas fueron disueltas por el periodo de pinochet"
3854	"mejorar la salud, si hay que pagar un poco se pago ""que no vayamos a hacer vida social"" que sea la misma atención que un privado
- tener acceso y que no sean caros con mayor acceso."
3855	-el tiempo de espera, la salud debería ser preventiva, mejor calidad de atención, mejor la atención integral
3856	"-mejorar la calidad de la salud
-culminar las listas de espera 
- tener acceso rápido por una necesidad, priorizar. 
-falta de insumos "
3857	"que haga mas igualdad en el país, menos pobreza que los derechos lleguen a los lugares mas extremos
islas.
Me refiero a la agricultura familiar."
3858	que se acaben las listas de espera, que hayan más especialistas en hospitales públicos, que la salud que no sea un negocio.
3859	mejorar y que sea gratis que no haya discriminación de niños de ganeros cambiando y discapacidad diferente, colegio mejores.
3860	los altos costos de los medicamentos la colusione sd elos precios entodo el comercio existe la fatal de fiscalizacion ante este problema. la cantidad de profesiones en el sitema publico es deficienrte. las instalaciones no son adecuadad las listas de esperar deben terminar los malos diagnosticos los
3861	"- instituciones públicas no son respetadas - ffaa
- no se aplican leyes
- declarar delito corrupción  aportar "
3862	"se mejoraron las pensiones solidarias pero no a los pensionados de afp.
hay que revisar las tablas de mortalidad hay que escuchar las necesidades de los adultos mayores.
mejorar la regulación de las afp"
3863	falta de oportunidades en atención médica gente a enfermedades de alto costo con tratamientos largos y que la espera las lleva a la muerte.
3864	"las perdidas no sean asumidas por los cotizantes
disminuir la esperanza de vida un porcentaje de retiro"
3865	"- mas y mejores especialistas
- que hayan mas especialistas que atiendan por fonsa
- consultas muy caras se complejiza cuando las pensiones son muy bajas."
3866	es lo mas importante de todo ser humano, por eso es necesario que aumentos los especialistas en el sector publico, mejorar calidad de remedios y que no existan mas lista de espera. 
3867	"-mala atención porque no existe etica
-colas de espera muy larga
-no hay vocacion en los profesionales
-igualdad en salud, atencion de calidad para todos independiente si es publica o privada"
3868	"-porque es lo inicial para el cambio de mejoras para el pais
-genera estabilidad constitucional
-solo necesita cambio de concepto y no refundar"
3869	"educación real (civica, familiar) que enriquezca la cultura frente a la discapacidad y participación social activa.
inicio en la infancia"
3870	que toda medida que adopte el estado considee la discapacidad. debe haber intersectorialidad, respecto  a igualdad.
3871	"(1. educación inclusiva de calidad(familia))
2. formar a los profesionales en la atención a la diversidad"
3872	"-falta de especialistas.
-ni hay implementos adecuados.
-personas  que trabajan en la salud esten capacitados porque no saben tratar a la gente con discapacidad."
3873	"mayor distribución.

ser protagonistas y ser parte del cambio junto a todos los actors. 
diálogos vinculantes y tengan un impacto real dentro de las políticas públicas. 
generar un plina estrategico e insumar los resultados de este diálogo "
3874	"se requieren; entes fiscalizadores, procesos que resguarden y validen la existencia de los derechos de la personas con discapacidad.
apuntar a una inclusión real, no solamente integración y asistencialismo.
aumentar los beneficios para personas con discapacidad en relación a la necesidad real de a"
3875	generar una entidad que fiscalice las prácticas relativas a la inclusión en todos  los contextos de la vida cotidiana y que sus funicioraios sean personas con discapacidad, en tanto esto genera una fiscalización más apropiada porque las personas saben realmente (por experiencia) que necesitan pas pe
3876	"el deterioro de las instalaciones en los colegios de las poblaciones, el sueldo que tienen los profesores,
y no invierten en los niños, en su educación "
3877	mejorar la calidad de la educacion para la preparacion de mejores profesionales. mejoramiento de infraestructura, cambio al sistema educacional, la educación era mejor antes. calidad docente, eliminar el cae, que se cobre lo justo
3878	"-desigualdad en general, principalmente para personas de escasos recursos.
-entrega un trato digno en salud pública"
3879	"es transversal a todo, a pensiones, a salud, educación, deudas, economía, temas sociales.
es importante porque esto predetermina a las personas desde que nacen. el nepotismo es un ejemplo, la meritocracia existe para algunos sectores sobre todo en el sector privado.
justicia social significa que n"
3880	los derechos y deberes, hemos dejado que los niños se desarrollen solos más acompañados desde los primeros años.educarnos no para todos ahora sobran profesionales ahora son menos exigentes no hay calidad.
3881	"""no ha hecho nada de lo prometido"" / menciona eso ya que su situación en salud no es la mejor"
3882	"modificacion del sistema de pensiones
fijar una pension base que sea el sueldo minimo ( todas las pensiones)"
3883	"- Se requiere un servicio gratis
- Servicio de calidad
- Más especialistas
- Mejorar la canasta de medicamentos"
3884	"incluyen pero separan a los alumnos con discapacidad.
-no capacitan a los profesores. alumnos, padres para estudiar con personas que tienen discapacidad."
3885	que sea una constitucion realizada para las personas en relacion a sus necesidades abordando educacion, salud, pensiones, inclusion
3886	"muchos universitarios sin trabajo, se endeudan sin trab
concordancia, trabajo hay.
pero hay mucha gente floja (subsidio a la gente de trabajos por temporada, mayor acceso a beneficios )"
3887	"capitales de los recursos son de beneficio de las administradoras.
requiere igualar sistemas de reparto por años de servicio como de las fuerzas armadas.
pensiones dignas."
3888	"- me obligaron ha cambiarme a afp y sacamos pensiones indignas. 
- es un negocio muy bien programada para beneficio de las propias afp, y la desición de que hacer con el dinero deberia ser de la propia persona.
- no mas afp, ya no fue negocio"
3889	Educar a la sociedad en cuanto a discapacidad desde la infancia para que se sepa tratar a un adulto mayor a un discapacitado.
3890	"hay muchos jefes y pocos líderes. se necesita gente que quiera ver más allá. ser visionario. 
que tenga y se crea la equidad de género."
3891	mejor acceso a la salud, atención prioritaria a ped y adultos mayores , terminar listas de espera mejorar la atencion, con un trato mas digno. aumentar la atención de especialistas mayor accesibilidad a medicamentos y ayudas técnicas. 
3892	"en este ambito se identifican:
- turnos en consultorios deben mejorar su calidad y cobertura, evitando a los usuarios madrugar para conseguir numero de atencion.
- hay serios problemas con la calidad de atencion y tambien calidad humana de las personas que atienden en recintos de salud. no se ve v"
3893	ya que las atenciones y la falta de recursos hacen que no se entrege un buen servicio
3894	"- acabar con listas de espera.
- especialistas
- que en los consultorios existan personas que lo atiendan bien
- desorden en la salud duplicidad de horas. nos hacen sentir que es un favor y no lo es."
3895	bajar sueldos y garantia de los parlamentarios. que trabajen para chile y no para ellos y cumplan que haya equilibrio salarial
3896	"que sea un real sistema de pensión en donde cada trabajador tenga la opción de estar o no en el sistema.
los que optan por entrar en el sistema poder resguardar o regularizar de forma equitativa su ahorro."
3897	en relación a las remuneraciones, especialmente respecto a profesiones que son poco valoradas y que son fundamentales para la formación de otros profesionales.
3898	piensan que ni se cumplen las promesas  que se realización los servicios no cumplen, ampliación de vivienda
3899	"Falta mayor acceso a la educación que sea de calidad, nivelar desde los cursos básicos, entregar herramientas para la movilidad social.
Igualdad de oportunidades._"
3900	"-personal por el tema de la delincuencia en los hogares, pymes y empresas
modificación de leyes pa la delincuencia
-mediar acciones con respecto ala      con penas correspondientes."
3901	falta mayor acceso a la educación que sea de calidad, nivelar desde los cursos básicos, entregar herramientas para la movilidad social. igualdad de oportunidades
3902	"bajar los peajes y pasajes regularlos
termino de monopolio empresas de buses
termino al impuesto especifico"
3903	"la gente se arrepintio de carabineros del seguro social//se amenazo para cambiar 
intereses   donde esta?. todo perdimos los usuarios 
abusivos// reales politicos dentro de los cam para cambiar a las cajas de compensacion "
3904	"fiscalizacion rigurosa por parte del estado
fortalecer los servicios del estado, incluyendo la probidad de  los funcionarios"
3905	se necesita igualdad de los derechos para todos en sueldo, opinión, respeto para estar bien como sociedad
3906	"- sistema de salud en la región no hay más opciones que acudir solo hospital. 
- salud precaria y mala calidad"
3907	"Por ser una localidad aislada nunca se debió privatizar el agua
falta de agua sector rural
mala calidad sector urbano."
3908	"-con todo lo que ha pasado
se han perdido más empleos ve lo ya había.
-muchas cesantía.
-mejorar los salarios. no hay incentivos. "
3909	los habitantes de la isla no poseen viviendas dignas, no poseen trabajos estables (solo por temporadas de la industria salmoneras) y bajo escolaridad. lo que les cierra las puertas para acceder a un mejor nivel de vida.
3910	"sueldos muy bajos que no alcanzan para vivir hay mucho necesidad a nivel país, somos región pobre.
todo sube porque los empresarios no quieren invertir."
3911	"aumento de medicos especialista.
atención de urgencia mejorarla
no sustituir medicamento
fin lista de espera.
mejor atencion para adultos m.
que la atención sea igual para chilenos como extranjeros."
3912	en la actualidad las pensiones muy bajas y la forma de cálculo sigue perjudicando cambio muy grande al retirarse. nada alcanza.
3913	fortalecer al sistema hospitario encuruto a insumos, especialistas y atencion al usuario. ademas fortalecer el sistema de salud fonasa. dejando como seguro complementario a las isapres.
3914	"mayores especialistas
fin a listas de espera
alto costo de los medicamentos
mejoramiento de servicio urgencia"
3915	"- aumento de medicos especialista.-
- Atención de urgencia mejorarla 
-no sustituir medicamentos 
-Fin lista de espera.
- Mejor atencion para adultos M.
- Que la atención sea igual para chilenos como Extranjeros."
3916	"-Mayor dotación especialistas en Servicio Público
-Agilizar listas de espera (operación y horas medicas)
-Atención de calidad y empática.
-Mayor hora de atención dental. "
3917	"más especialistas, más economicos los remedios lista de espera eterna
tiempo de espera 
mala atención, falta vocación"
3918	demora en las horas (otorgadas) listas de espera largas (años) mala atención ( personas con vocación)descoordinación, se burlan de las personas.
3919	"-no hay especialistas
-consultorios grandes y sin uso
-barreras muy exigentes para profesionales de salud-que sean para el sector rural
-no te ner vocación social
-mal trato, mala atención.
"
3920	"el sistema de selección es malo, hay que cambiarlo
no se puede decidir libremente
no eliminar materias del currículum, al contrario incorporar nuevas asignaturas
falta formación valórica
deben ser gratuita pero el que puede pagar que pague"
3921	Las actuales jubilaciones no alcanzan para vivir no debe servir trabajando son injustos los sistemas de jubilación entre las 
3922	"- basar los tramites de la luz y servicios (deben ser del estado, estado mal administrado)
-no alcanza
-medicamentos muy caros
-no hay relación entre costo v/s ingreso
-balor impuestos"
3923	se a perdido la confianza por los diferentes hechos delictuales que no an sido sansionados como corresponde
3924	"-las mujeres señalan la urgencia de contar con profesionales en el sáes odontología, oncología y dermatólogos y la exigencia que estos especialistas tengan que trabajar en hospitales públicos
-innovar en equipamientos de avanzada para mamografías"
3925	igualdad de salud, para todos tanto ricos como pobres, mejores profesionales, e insumos derecho de salud, para todos, desentralización.-
3926	"falta de horas medicas.
falta de especialistas, ginecologia, traumatologos, mejor atención que la atención se iguale al sector privado"
3927	"*profesores mal pagados
*educación de calidad
*tareas para la casa (no)
*universidades caras (no al endeudamiento)"
3928	"cambio del sistema neoliberal urgente
cambio para ser más personas y menos
individualistas.
de la mano de un sistema de bienestar social
(salud - pensiones)"
3929	"necesiades más urjentes son: 
que nuestros gobernantes nos escuchen 
que este dialogo no se quede ahi.
queremos ver nuestro pueblo más feliz."
3930	"por los otros, colocarte en el lugar de otro y su realidad.

cada persona vive su realidad sin preocuparse por otros seres humanos y lo que viven."
3931	"-mejorar salud y educación 
-hay gente que tiene mucho dinero y gente que tiene sueldos muy bajos. 
-debe mejorar afp porque las pensiones son pesimos "
3932	"- no existe un sistema de calidad las horas médicas tardan mucho
- no hay especialistas en comunas"
3933	preocupación por la baja pensión de mis padres y larga emocional y financiera por mejorar la calidad de vida
3934	"actuar con mayor eficiencia en relación a los adultos mayores
apoyo para las pymes para reconstruir, atender con mayor preocupación a los enfermos catastróficos
fiscalizar los programas de apoyo a las comunidades que realmente se ejecuten "
3935	las pensiones de los jubilados no han logrado mejoras para ellos, solo mejoran las pensiones solidarias. 
3936	se debe reformar la ley 3500 (derogar) y crear una afp que la administre el estado
3937	que todos aportemos y resivamos de la misma manera y que no se tan grande la brecha entre las clasese
3938	"tener mas recursos para los adultos. no hay especialistas.
falta de stock posta. hay que comprar y son muy caros"
3939	"-aranceles mas bajos, eliminar a la banca, 

-mayor acceso de becas y creditos
mayor equidad para los alumnos"
3940	"no más listas de espera.
atención más rápida.
dientes, atención dental.
atención al cliente, más ética profesional.
falta de insumos y medicamentos.
repara sistema de salud completa."
3941	"- mejoramiento de los establecimientos
- cae
- fondo solidario
- derecho a educación digna
- educación de calidad"
3942	"-salud cara tanto privado como publica (dejar de cobrar las consultas particulares      )
-medicamentos carísimos
-aca en calama se piensa q´ todos trabajan con codeco-falta profesionales de calidad
-hospital colapsa
-largas listas de espera-
-hora por telefono no sirve"
3943	problemas profundos en las afp. pensiones miserables. sancionan de miedo al futuro por que va a pasar y ese miedo se transforma en rabia por ver ese desigualdad
3944	"- el comercio legal paga muchos derechos e impuesto en desventaja con comercio ambulante- comercio pyme paga mucho respecto de grandes empresas. 
- la salud: pocos recursos - atención más eficiente y de calidad, más digna - falta de medicos con vocación y que trabajen en el sistema público."
3945	"Al tener el control de las situaciones tanto lícitas como ilícitas
Mejores estrategias de control para  estos desmanes"
3946	"- Lista de espera más expedita
- que los servicios de urgencia sean  mas rapidos
- mas especialistas
- Remedios sean mas baratos"
3947	"- desigualdad en salud
- desabastecimiento de insumos
- no + listas de espera.
+ especialistas."
3948	"- bajar los años (expectativas de vida,
modalidad de cálculo).
- tasa de rentabilidad.
- reformar el sistema de pensiones.
- modificaciones puntuales al sistema. "
3949	acceso al transporte público no adaptado, veredas mal estado, acceso a servicios públicos, falta de rampas, baños no adaptados, edificios no adaptados
3950	"larga espera, por hora punto
listas de espera. llaman a ultimahora.no dan solución mala atención . citan y al final no sirve porque siempre hay que volver por otras cosas punto la salud es lo principal todo se hace teniendo salud .
"
3951	"pocos doctores, mala atención.
tienen pocos especialistas. las emergencias no tienen respuestas efectivas. si uno reclama se molestan (los profesionales) falta de medicamento. beneficios + transversa"
3952	". larga espera en horas médicas  
. alto costo en atención dental
.promedios muy caros 
.mala atención en consultorios y largas esperas en urgencia. "
3953	-existen lugares, intitucines publicas, locales comerciales, hospitales entre otros que no cuentan con el acceso o instlaciones acordes a las necesidades de personas con discapacidad
3954	porque el actual sistema es macabro, ha demostrado ser un fracaso.Los jubilados no tienen cómo vivir.
3955	es el debate de las pensiones, se habló de los fondos de la administración de las afp las pensiones
3956	se necesita tranquilidad en poder salir, acceder a los servicios básicos en el diario vivir. estoy atemorizado/a y paralizado/a ante la falta de seguridad pública.
3957	"-mejorar control de la salud en la inmigración.
mejorar universalmente el acceso y la atención de salud, incluyendo medicamentos"
3958	los participantes de manera unánime señalaron que la educación debe ser un derecho que garantice el estado para toda la ciudadanía y que no sea administrado por privados, que deje de ser una empresa con fines de lucro.
3959	"se elimine sistema de afp
pensión sea estatal (como el antiguo servicio de seguro social)
sistema equitativos"
3960	"- los usuarios deben esperar mucho tiempo para que se le entregue una atención
- listas de espera muy grandes
- no todas las personas tienen prioridad para ser atendidas"
3961	"- muy altos los remedios, las familias no tienen par cubrir los costos de salud en caso de enfermedad
- las horas de interconsultas se suspendieron"
3962	"horas demasiado 
- carencia de especialistas
- los profesionales deben aportaron en el sector público
- el sistema de salud
(fonasa c isapre) "
3963	"- se debe mejorar todo el 
sistema de educación, ya
que tenemos derechos pero
no calidad. no + psu"
3964	"- falta de especialistas ( geriatras ) 
-  lista de espera muy larga 
- falta de medicamentos y hay que comprarlos de forma particular- mala atención 
"
3965	educacion gratuita para personas que realmente lo necesita, que los ricos pagues su educación, no que los pobres paguen la eeducacion a los ricos 
3966	que exista una cultura en cuanto a la discapacidad que se inculque en los colegios para eliminar las barreras actitudinarias que vivimos a diario de falta de solidaridad y empatía
3967	"-desigualdad de ingresos
-mala distribución de ingresos
-sueldos acordes a las necesidades de las personas
-sueldos no alcanzan a cubrir las necesidades básicas"
3968	"- menor espera para una intervención o tratamiento u operación. 
- mejorar la infraestructura de establecimientos locales ( posta, etc.)
- mayores insumos y medicamentos. "
3969	"-criterio solidos para evaluar discapacidad 
-falta especialistas
-atención tardía
-falta de información a los pacientes y la entrega tardía. 
"
3970	"mejor acceso, con mejores caminos hacia su localidad. como ha existido un aumento progresivo de la población, las pequeñas calles se congestionan dificultando el transporte. 
transporte no integrado a transantiago por lo que se genera un doble pago de tarifa "
3971	existe un tremendo problema en esta área, referente a falta de acceso a horas médicas y calidad del sector público
3972	"escases de inseguros en los hospitales;
esto afecta la atención hacia el 
publico. el acceso a la salud."
3973	"leyes mas efectivas para castigar delincuentes
fomentar la dotación de carabineros
equipar con cámaras de las vigilancias "
3974	"mas vigilancia de carabineros 
mas aumento de carabineros 
mas protección al caminar por el centro.
mas recorrido por las villas y poblaciones."
3975	"porque los allegados somos demaciados, vivimos hacinados y no nos alcanza para créditos hipotecarios 
por lo tanto urge viviendas sociales dignas y de buena calidad y asi mejorar nuestra calidad de vida."
3976	por el estallido social quemaron el metro dejando a la gente sin movilización a los trabajadores.
3977	- las necesidades mas profundas del pais y de las personas va asociadas netamente al poco dinero q se nos paga, con respecto a las horas de trabajo, esto descaza todos los problemas colaterales
3978	"eliminar listas de espera
mejorar el trato del personal
más especialistas
trato más digno
menos burocracia"
3979	"- si no existen recursos económicos hay que esperar mucho tiempo las horas médicas
- ... las listas de espera
- medicamentos caros, el estado entrega lo basico"
3980	"-->no existe una asignación directa, en la postulación
-->casas adecuadas a las necesidades de los usuarios"
3981	"-muchas deficiencias en salud pública.
-sistema problemas de salud necesito tener tiempo, para el bono, atención, medicamentos.
-mayor equidad reformar el estado (disminución parlamentaria)"
3982	necesitamos personas que realmente se conecten con la ciudadanía y trabajen para mejorar el país no por el bien propio. que hagan y promuevan cambios reales
3983	"-se mendiga la salud, no hay fiscalizadores, se espera hasta 10 horas para que lo atiendan.
-en arica no hay especialistas.
-muchos medicos extranjeros"
3984	"se debe tratar de disminuir la desigualdad en la cobertura de las necesidades básicas. también se habla del tema de los remedios baratos.
se habla de crear ley para las familias de no dejar abandonado, p/e al adulto mayor.
pero si hoy nnos comparamos con los paises vecinos, numéricamente estamos m"
3985	"ública. lista de espera, algunos mueren esperando. trato al usuario no es igual que el sector privado, mala atención publica.
falta de especialista. 
la forma de conseguir hora y la lentitud. "
3986	"salud pública. largas lista de espera, personas mueren esperando.
mucha burocracia para obtener horas.
mal trato del personal al usuario.
falta de especialistas y medicamentos"
3987	"mejor atención -  horas para operación - especialistas - aumentar horas
aumentar ingreso jubilaciones
jubilar a los 60 años "
3988	"mas especialistas medicos
menor precio en los medicamentos
mejor infraestructura y equipamiento
mas rapidez en horas y tratamiento"
3989	"-mejorar las pensiones de los jubilados, que se cree un sistema como el antiguo. 
- el cambio a sistema de afp fue malo y desfavorable para la comunidad."
3990	"- las penas mas duras y efectivas para delincuente
- mas facultades a las policias
- los fiscales, sancionen con penas mas altas"
3991	mala, faltan profesionales, medicamentos, especialistas, listas de espera. diferencia por sistema de financiamiento de salud (isapre, fonasa)
3992	"- mejorar la calidad de la salud
- se necesitan especialistas en huesos, pulmones y corazón"
3993	"la educación es el pilar fundamental de toda sociedad.
si mejora la educación, mejoran la salud, el trabajo, etc.
educación de calidad."
3994	"- faltan especialistas en la comuna solo existe atención primaria de salud
- procesos burocraticos en salud
- falta de recursos económicos
- conectividad, traslados, horas de extranjeros
- medicamentos"
3995	"-sequia en nuestra comuna.
_no deberia estar en manos privadas.
-problemas con la junta de vigilancia el tranque (mala administracion del agua)"
3996	esta necesidad se plantea como muy importante dado su efecto en la futura vida de las personas.  se menciona que no ha existido una dedicación especial por distintos gobiernos por velar por los derechos y equidad del cotizante, existiendo sensaciones de abuso, aprovechamiento y perjuicio hacia el af
3997	"sistema más optimo
mejor trato en general de los profesionales
mas empatía del personal de salud hacia el paciente
capacitación"
3998	"- Pasan días, meses, años para que atiendan a algunos en el sistema publico.
- Gran parte del país no tiene acceso a salud de calidad, especialmente ancianos."
3999	"-que deje de existir tanta violencia
-que las fuerzas armadas vuelvan a formar y no a adiestrar"
4000	"- que ellos se refleje la necesidad de la gente 
- que realmente realicen su trabajo para lo cual fueron electos "
4001	"-sueldos dignos, con menos horas laborales
-falta de oportunidades laborales
-que no produzcan abusos a los trabajadores"
4002	"ante el acceso a las necesidades básicas/salud-vivienda-educación, pensiones, sueldos-presentación y enfoque de género.
-sueldos éticos para cubrir el costo de vida."
4003	"por ahorro (falta)
por pension asistencial mujeres   a los 65 años y dejar en situacion de vulnerabilidad al resto."
4004	"si no hay salud no podemos hacer nada.
especialistas, horas tratamientos que no sea 1 negocio, que sea digna
mas horas, mejor salud, mejores hospitales"
4005	"-cambio cambio politicas agrarias, todas las politicas.
-lo que hacen los politicos, no han vivido de forma propia la vida agraria
-colucion
-mala distribucion de los recursos "
4006	donde se sancione con manos dura a quienes roben - destruyan - burle no respeten el uniforme
4007	"-los altos costos de los medicamentos
-no es de calidad y segregadora
-se privatizaron todos los recursos naturales en chile
-los sueldos mínimos no alcanza a cubrir las necesidades"
4008	"- intervención pública para nivelar el sistema educacional
- resolver el tema del crédito cae
- educación equitativa - inclusiva."
4009	"existe mucha desigualdad y segregación en chile. se viven roles muy opuestos según status social y económico.
principal generador de desigualdad, es el poco respeto al otro. esto se debe a nivel de instituciones. no tener educación o salud digna es una falta de respeto."
4010	porque no es una constitucíón democratica, ya que se hizo para un cierto grupo pequeño de personal
4011	"-falta de infraestructura que existan mas hospitales
-falta personal, medicos y otros en los consultorios
-mejorar el trato en los pacientes o  usuarios"
4012	"mejorar efectivamente el sistema de pensiones, que no sea negocio/afp deberian ser como el proyecto original.
luchar contra el narcotráfico sin tregua."
4013	que los hospitales y cesfam tengan mayor desponabilidad para atenderse y tener más especealistas para los usuarios
4014	Subir las pensiones, para que a los adultos mayores y en general a todos los pensionados les alcance de manera digna el dinero para solventar sus necesidades básicas. 
4015	que sea de mejor calidad a veces la atencion no es buena y se demora mucho, faltan mas especialistas, ya que demora mucho la interconsulta
4016	"acceso de salud a todos
atención oportuna a pacientes
altos precios de medicamentos 
falta de información"
4017	los participantes relevaron que sin llegar a un proceso constituyente libre y soberano, con la adecuada representacion de la ciudadania no se puede avanzar mucho en la resolucion de las necesidades de las personas.
4018	que surja una nueva constitución con plena y efectiva participación de la ciudadanía en su elaboración
4019	los participantes relevaron que sin llegar a un proceso constituyente libre y soberano, con la adecuada representacion de la ciudadania no se puede avanzar mucho en la resolucion de las necesidades de las personas 
4020	"mejorar infraestructura y aumentar capital humano.
que no se permita abusar económicamente de las personas con la salud.
mejorar el sistema de atención y acortar los tiempos de espera.
regular las normas que establece el colegio de médicos, que permite y favorece los abusos del sector.
entregar "
4021	 mejoras del sistema de pensiones ya que el actual nos hace trabajr toda la vida y para que luego no nos alcance sin vivir bien nuestra vejez
4022	"bajo monto de pensiones
la gente vive en pobreza 
pais está envejeciendo y no hay politicas de dignidad para la vejez "
4023	bajo monto de penciones hace que se viva en pobreza no enfrentar la vejez con dignidad, no hay politica para la vejez
4024	"- incorporar educacion civica-historia-etica se estan creando maquina todo esta tecnologizado
- falta de respeto a los profesores
- los vacanes deben ser los profes."
